disease,symptoms,description,precautions,severity,nlp_examples,symptom_count
injury to the leg,ankle pain|ankle swelling|foot or toe pain|foot or toe swelling|infant feeding problem|irregular appearing nails|knee pain|knee stiffness or tightness|knee swelling|leg pain|leg swelling|problems with movement,"Medical condition characterized by: ankle pain, ankle swelling, foot or toe pain, foot or toe swelling, infant feeding problem...",Consult a healthcare professional,moderate,,12
noninfectious gastroenteritis,blood in stool|burning abdominal pain|chills|decreased appetite|diarrhea|fever|fluid retention|headache|nausea|rectal bleeding|sharp abdominal pain|vomiting,"Medical condition characterized by: blood in stool, burning abdominal pain, chills, decreased appetite, diarrhea...",Consult a healthcare professional,moderate,,12
benign prostatic hyperplasia bph,blood in urine|excessive urination at night|frequent urination|hesitancy|impotence|involuntary urination|low urine output|pain in testicles|retention of urine|swelling of scrotum|symptoms of bladder|symptoms of prostate,"Medical condition characterized by: blood in urine, excessive urination at night, frequent urination, hesitancy, impotence...",Consult a healthcare professional,moderate,,12
acute bronchiolitis,coryza|cough|decreased appetite|fever|hurts to breath|irritable infant|nasal congestion|pulling at ears|vomiting|wheezing,"Medical condition characterized by: coryza, cough, decreased appetite, fever, hurts to breath...",Consult a healthcare professional,moderate,,10
cholecystitis,back pain|burning abdominal pain|lower body pain|nausea|regurgitation1|sharp abdominal pain|sharp chest pain|side pain|stomach bloating|symptoms of the kidneys|upper abdominal pain|vomiting,"Medical condition characterized by: back pain, burning abdominal pain, lower body pain, nausea, regurgitation1...",Consult a healthcare professional,moderate,,12
anxiety,abnormal involuntary movements|anxiety and nervousness|depression|depressive or psychotic symptoms|fears and phobias|headache|increased heart rate|insomnia|irregular heartbeat|palpitations|sharp chest pain,"Medical condition characterized by: abnormal involuntary movements, anxiety and nervousness, depression, depressive or psychotic symptoms, fears and phobias...",Consult a healthcare professional,moderate,,11
obstructive sleep apnea osa,abnormal breathing sounds|abnormal involuntary movements|apnea|difficulty in swallowing|insomnia|mouth dryness|sleepiness|sweating|weight gain,"Medical condition characterized by: abnormal breathing sounds, abnormal involuntary movements, apnea, difficulty in swallowing, insomnia...",Consult a healthcare professional,moderate,,9
concussion,back pain|difficulty speaking|disturbance of memory|dizziness|double vision|facial pain|headache|nausea|neck pain|rib pain|sleepiness|vomiting,"Medical condition characterized by: back pain, difficulty speaking, disturbance of memory, dizziness, double vision...",Consult a healthcare professional,moderate,,12
dental caries,ear pain|facial pain|gum pain|jaw swelling|mouth pain|neck swelling|pain in gums|peripheral edema|restlessness|skin irritation|skin swelling|toothache,"Medical condition characterized by: ear pain, facial pain, gum pain, jaw swelling, mouth pain...",Consult a healthcare professional,moderate,,12
pyogenic skin infection,abnormal appearing skin|foot or toe pain|foot or toe swelling|hand or finger pain|hand or finger swelling|leg pain|leg swelling|peripheral edema|skin swelling,"Medical condition characterized by: abnormal appearing skin, foot or toe pain, foot or toe swelling, hand or finger pain, hand or finger swelling...",Consult a healthcare professional,moderate,,9
stye,abnormal appearing skin|eye burns or stings|eye redness|eyelid lesion or rash|eyelid swelling|itchiness of eye|mass on eyelid|pain in eye|skin swelling|swollen eye|symptoms of eye,"Medical condition characterized by: abnormal appearing skin, eye burns or stings, eye redness, eyelid lesion or rash, eyelid swelling...",Consult a healthcare professional,moderate,,11
idiopathic excessive menstruation,blood clots during menstrual periods|cramps and spasms|frequent menstruation|heavy menstrual flow|intermenstrual bleeding|involuntary urination|long menstrual periods|painful menstruation|sharp abdominal pain|unpredictable menstruation|vaginal discharge,"Medical condition characterized by: blood clots during menstrual periods, cramps and spasms, frequent menstruation, heavy menstrual flow, intermenstrual bleeding...",Consult a healthcare professional,moderate,,11
depression,abusing alcohol|anxiety and nervousness|delusions or hallucinations|depression|depressive or psychotic symptoms|disturbance of memory|drug abuse|excessive anger|hostile behavior|insomnia|temper problems,"Medical condition characterized by: abusing alcohol, anxiety and nervousness, delusions or hallucinations, depression, depressive or psychotic symptoms...",Consult a healthcare professional,moderate,,11
acute sinusitis,coryza|cough|coughing up sputum|ear pain|facial pain|fever|frontal headache|nasal congestion|painful sinuses|sinus congestion|sore throat,"Medical condition characterized by: coryza, cough, coughing up sputum, ear pain, facial pain...",Consult a healthcare professional,moderate,,11
herniated disk,arm pain|arm weakness|back pain|hip pain|leg pain|leg weakness|loss of sensation|low back pain|neck pain|paresthesia|shoulder pain,"Medical condition characterized by: arm pain, arm weakness, back pain, hip pain, leg pain...",Consult a healthcare professional,moderate,,11
chronic constipation,blood in stool|burning abdominal pain|changes in stool appearance|constipation|lower abdominal pain|nausea|pain of the anus|rectal bleeding|retention of urine|sharp abdominal pain|vomiting,"Medical condition characterized by: blood in stool, burning abdominal pain, changes in stool appearance, constipation, lower abdominal pain...",Consult a healthcare professional,moderate,,11
angina,arm pain|chest tightness|dizziness|hot flashes|increased heart rate|irregular heartbeat|lower body pain|palpitations|sharp chest pain|sweating,"Medical condition characterized by: arm pain, chest tightness, dizziness, hot flashes, increased heart rate...",Consult a healthcare professional,moderate,,10
psoriasis,abnormal appearing skin|irregular appearing scalp|itching of skin|itchy scalp|joint pain|skin dryness peeling scaliness or roughness|skin growth|skin moles|skin swelling,"Medical condition characterized by: abnormal appearing skin, irregular appearing scalp, itching of skin, itchy scalp, joint pain...",wash hands with warm soapy water|stop bleeding using pressure|consult doctor|salt baths,minor,i have been experiencing a skin rash on my arms legs and torso for the past few weeks it is red itchy and covered in dry scaly patches|my skin has been peeling especially on my knees elbows and scalp this peeling is often accompanied by a burning or stinging sensation|i have been experiencing joint pain in my fingers wrists and knees the pain is often achy and throbbing and it gets worse when i move my joints,9
multiple sclerosis,abnormal involuntary movements|disturbance of memory|dizziness|focal weakness|headache|leg weakness|loss of sensation|paresthesia|problems with movement,"Medical condition characterized by: abnormal involuntary movements, disturbance of memory, dizziness, focal weakness, headache...",Consult a healthcare professional,moderate,,9
developmental disability,antisocial behavior|delusions or hallucinations|depressive or psychotic symptoms|difficulty speaking|fears and phobias|hostile behavior|lack of growth|obsessions and compulsions|restlessness|seizures|temper problems,"Medical condition characterized by: antisocial behavior, delusions or hallucinations, depressive or psychotic symptoms, difficulty speaking, fears and phobias...",Consult a healthcare professional,moderate,,11
conjunctivitis,coryza|cough|eye redness|fever|itchiness of eye|lacrimation|nasal congestion|pain in eye|sore throat|swollen eye|white discharge from eye,"Medical condition characterized by: coryza, cough, eye redness, fever, itchiness of eye...",Consult a healthcare professional,moderate,,11
sepsis,chills|cough|decreased appetite|feeling ill|fever|sharp abdominal pain|suprapubic pain|vomiting,"Medical condition characterized by: chills, cough, decreased appetite, feeling ill, fever...",Consult a healthcare professional,moderate,,8
